ruolo;cognome;squadra;media fantavoto;quotazione
P;Radunovic;CAG;0;8
P;Sportiello;MIL;0;1
P;Mirante;MIL;0;1
P;Skorupski;BOL;0;10
P;Sepe;SAL;0;1
P;Leali;GEN;0;1
P;Lamanna;MON;0;1
P;Perin;JUV;0;1
P;Sommariva;GEN;0;1
P;Szczesny;JUV;0;15
P;Consigli;SAS;0;5
P;Pegolo;SAS;0;1
P;Perilli;VER;0;1
P;Padelli;UDI;0;1
P;Meret;NAP;0;17
P;Scuffet;CAG;0;1
P;Gollini;NAP;0;1
P;Perisan;EMP;0;2
P;Di Gennaro;INT;0;1
P;Pinsoglio;JUV;0;1
P;Aresti;CAG;0;1
P;Fiorillo;SAL;0;1
P;Falcone;LEC;0;8
P;Milinkovic-Savic V.;TOR;0;10
P;Cragno;SAS;0;4
P;Silvestri;UDI;0;9
P;Cerofolini;FIO;0;1
P;Rossi F.;ATA;0;1
P;Costil;SAL;0;1
P;Ravaglia F.;BOL;0;1
P;Musso;ATA;0;3
P;Provedel;LAZ;0;16
P;Terracciano;FIO;0;10
P;Contini;NAP;0;1
P;Rui Patricio;ROM;0;14
P;Maignan;MIL;0;17
P;Brancolini;LEC;0;1
P;Caprile;EMP;0;7
P;Carnesecchi;ATA;0;11
P;Bleve;LEC;0;1
P;Berardi A.;VER;0;1
P;Gemello;TOR;0;1
P;Turati;FRO;0;5
P;Montipo';VER;0;7
P;Martinez Jo.;GEN;0;8
P;Boer;ROM;0;1
P;Adamonis;LAZ;0;1
P;Piana;UDI;0;1
P;Bagnolini;BOL;0;1
P;Luis Maximiano;LAZ;0;1
P;Svilar;ROM;0;1
P;Sorrentino A.;MON;0;1
P;Di Gregorio;MON;0;12
P;Ochoa;SAL;0;9
P;Martinelli T.;FIO;0;1
P;Popa;TOR;0;1
P;Stubljar;EMP;0;1
P;Stankovic F.;INT;0;1
P;Gori;MON;0;1
D;Masina;UDI;0;6
D;Romagnoli S.;FRO;0;5
D;Dermaku;LEC;0;1
D;Hysaj;LAZ;0;7
D;Mario Rui;NAP;0;10
D;Tonelli;EMP;0;1
D;Izzo;MON;0;8
D;Biraghi;FIO;0;10
D;D'ambrosio;MON;0;7
D;Dimarco;INT;0;19
D;Juan Jesus;NAP;0;5
D;Bonucci;JUV;0;4
D;Rugani;JUV;0;3
D;De Vrij;INT;0;6
D;Patric;LAZ;0;5
